source,source_package,source_subpackage,source_module,Type,Class,Description,Layer,Package,Subpackage,Sub2Package,Module,Status,from,to
utils,,,data,,DataClass,,core,,,,data,Ready,,
domain,  ,,base,DataClass,Entity,,core,,,,data,Ready,,
domain,,,enums,Enum,Phase,"Prep, Analysis",core,,,,enum,Ready,,
domain,,,enums,Enum,Stage,"Raw,Norm, DQA, Clean, Feature, NLP, Metrics",core,,,,enum,Ready,,
analysis,,,base,ABC,Analysis,,domain,services,base,,analysis,Ready,,
application,,,base,ABC,StageConfig,,domain,services,base,,config,done,,
application,,,pipeline,ABC,Pipeline,,domain,services,base,,pipeline,Ready,,
application,,,pipeline,ABC,PipelineBuilder,,domain,services,base,,pipeline,Ready,,
utils,,,repo,ABC,Repo,,domain,services,base,,repo,done,,
application,,,base,ABC,Task,Base class describing task interface,domain,services,base,,task,done,,
application,task,data_prep,clean,StageConfig,CleanConfig,Configuration for the DataCleaner,domain,services,data_processing,data_cleaning,config,Ready,,
application,task,data_prep,clean,PipelineBuilder,DataCleanerPipelineBuilder,,domain,services,data_processing,data_cleaning,pipeline,Ready,,
application,task,data_prep,clean,Task,DataCleaningTask,,domain,services,data_processing,data_cleaning,task,Ready,,
application,task,data_prep,normalize,StageConfig,NormalizeConfig,,domain,services,data_processing,data_prep,config,Ready,,
application,task,data_prep,text_prep,StageConfig,TextPrepConfig,,domain,services,data_processing,data_prep,config,Ready,,
application,task,data_prep,normalize,PipelineBuilder,NormalizePipelineBuilder,,domain,services,data_processing,data_prep,pipeline,Ready,,
application,task,data_prep,text_prep,PipelineBuilder,TextPipelineBuilder,,domain,services,data_processing,data_prep,pipeline,Ready,,
application,task,data_prep,normalize,Task,NormalizeDataTask,A data preparation task,domain,services,data_processing,data_prep,task,Ready,,
application,task,data_prep,text_prep,Task,TextPipelineBuilderTask,,domain,services,data_processing,data_prep,task,Ready,,
application,task,data_prep,text_prep,Task,TextPrepTask  (TextPipelineBuilderTask),,domain,services,data_processing,data_prep,task,Ready,,
analysis,,,data,Analysis,DataQualityAnalysis,,domain,services,data_processing,data_quality_analysis,analysis,Ready,,
application,task,data_prep,dqa,PipelineBuilder,DataQualityAssessmentPipelineBuilder,Builds a data quality assessment,domain,services,data_processing,data_quality_analysis,pipeline,Ready,,
application,task,data_prep,dqa,Task,DataQualityAssessmentTask,Base class for data quality tasks,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectDuplicateRowTask,Marks duplicate rows in a dataframe,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectEmailTask,,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectEmojiTask,Detects emojis in review text,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectInvalidDatesTask,Detects invalid dates,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectInvalidRatingsTask,,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectNonEnglishTask,Detects non-englishin review text,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectNullValuesTask,Marks incomplete rows in a dataframe,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectOutliersTask,,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectPhoneNumberTask,,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectProfanityTask,,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectSpecialCharacterTask,Detects special characters in text,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DetectURLTask,,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,StageConfig,DQAConfig,Configuration for data quality assessment,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DQAFinalizeTask,Data quality analysis task,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,dqa,Task,DQAInitTask,Initializes data for data quality assessment,domain,services,data_processing,data_quality_analysis,task,Ready,,
application,task,data_prep,feature,StageConfig,FeatureEngineeringConfig,,domain,services,data_processing,feature_engineering,config,Ready,,
application,task,data_prep,feature,PipelineBuilder,FeatureEngineerPipelineBuilder,,domain,services,data_processing,feature_engineering,pipeline,Ready,,
application,task,data_prep,feature,Task,BasicTextFeatureTask,Feature engineering task,domain,services,data_processing,feature_engineering,task,Ready,,
application,task,data_prep,feature,Task,CastDatatypesTask,,domain,services,data_processing,feature_engineering,task,Ready,,
application,task,data_prep,feature,Task,DropFeaturesTask,,domain,services,data_processing,feature_engineering,task,Ready,,
application,task,data_prep,feature,Task,LexicalFeaturesTask,,domain,services,data_processing,feature_engineering,task,Ready,,
