,Class,Modulle
0,Profile,domain.service.core.monitor.profile
1,Converter,infra.utils.data_utils.converter
2,ToSpark,infra.utils.data_utils.converter
3,ToPandas,infra.utils.data_utils.converter
4,Database,infra.database.base
5,DBA,infra.database.base
6,DAL,infra.database.base
7,SQLiteDB,infra.database.sqlite
8,SQLiteDBA,infra.database.sqlite
9,ProfileRepo,infra.repo.profile
10,StorageFormat,infra.repo.base
11,ReviewRepo,infra.repo.base
12,McKinneyRepo,infra.repo.mckinney
13,ZahariaRepo,infra.repo.zaharia
14,ProfileRepo,infra.repo.__pycache__.repo
15,IO,infra.storage.local.file_io
16,ExcelIO,infra.storage.local.file_io
17,CSVIO,infra.storage.local.file_io
18,TSVIO,infra.storage.local.file_io
19,YamlIO,infra.storage.local.file_io
20,PickleIO,infra.storage.local.file_io
21,ParquetIO,infra.storage.local.file_io
22,HtmlIO,infra.storage.local.file_io
23,JsonIO,infra.storage.local.file_io
24,PickleError,infra.exception.pickle
25,DownloadFileTask,infra.operations.file_task.download
26,Writer,infra.operations.file_task.write
27,ExtractFileTask,infra.operations.file_task.extract
28,Reader,infra.operations.file_task.read
29,SampleFileTask,infra.operations.file_task.sample
30,CreateDatasetTask,infra.operations.data_task.dataset
31,ConvertTask,infra.operations.data_task.convert
